whiletruetype "// 80 percent of life is showing up https://t.co/Pur6UxcaR2" "Thu May 25 08:32:01 +0000 2017" True
whiletruetype "/* the spy who loved me */ | SQL https://t.co/ox6bz3ulbD" "Wed May 24 08:35:14 +0000 2017" True
whiletruetype "// falling is allowed, but staying down isn’t | JavaScript https://t.co/0BjSEd91vp" "Tue May 23 08:32:17 +0000 2017" True
whiletruetype "// mr. meeseeks | C# https://t.co/OVW4NjMRfK" "Mon May 22 08:32:09 +0000 2017" True
whiletruetype "# if it’s important, you’ll find a way. if not, you’ll find an excuse | Python https://t.co/a1f9E93vFD" "Sun May 21 08:32:44 +0000 2017" True
whiletruetype "// the nightmare before christmas | C++ https://t.co/EbGY0GUnst" "Sat May 20 08:31:08 +0000 2017" True
whiletruetype "// what you sow is what you reap | Objective-C https://t.co/dzH7dmbkQr" "Fri May 19 08:31:30 +0000 2017" True
whiletruetype "/* not penny’s boat */ | SQL https://t.co/HZMkcHxSno" "Thu May 18 08:31:46 +0000 2017" True
whiletruetype "// live and let live | Swift https://t.co/MbHK5THfTF" "Wed May 17 08:34:35 +0000 2017" True
whiletruetype "// who’s that girl? https://t.co/9vK7tIpIj3" "Tue May 16 08:34:11 +0000 2017" True
whiletruetype "// if you’re in a hole, stop digging https://t.co/fuYv0cHl68" "Mon May 15 08:34:40 +0000 2017" True
whiletruetype "// every programmer has been there | C# https://t.co/Z3yQHnJ1WM" "Sun May 14 08:33:26 +0000 2017" True
whiletruetype "// learn to walk before you run | Swift https://t.co/jk1tAlOxsv" "Sat May 13 08:33:09 +0000 2017" True
whiletruetype "// face of the father https://t.co/ssIz4kSDRG" "Fri May 12 08:30:37 +0000 2017" True
whiletruetype "// the second mouse gets the cheese | C# https://t.co/gmcAywKdOs" "Thu May 11 08:34:23 +0000 2017" True
whiletruetype "// better call saul https://t.co/S5bRB02PH7" "Wed May 10 08:35:37 +0000 2017" True
whiletruetype "// 50 percent of something is better than one hundred percent of nothing https://t.co/ZQSrNrOTzX" "Tue May 09 08:35:21 +0000 2017" True
whiletruetype "# speed | Python https://t.co/5eaxey4Krz" "Mon May 08 08:35:41 +0000 2017" True
whiletruetype "// alea iacta est | C++ https://t.co/KnwIjCkXOQ" "Sun May 07 08:35:26 +0000 2017" True
whiletruetype "// lisbeth | Java https://t.co/XvKlBfdi6S" "Sat May 06 08:30:35 +0000 2017" True
whiletruetype "// one hand washes the other washes the other… | Objective-C https://t.co/1CyuPVXwdK" "Fri May 05 08:33:31 +0000 2017" True
whiletruetype "@Codecademy https://t.co/fNV0qS4Nhf https://t.co/IxSUKsRBps" "Fri May 05 05:14:25 +0000 2017" True
whiletruetype "// may the fourth | Swift https://t.co/bFYWXGpnrV" "Thu May 04 08:32:22 +0000 2017" True
whiletruetype "// there are none so blind as they who do not want to see | C https://t.co/UK2WQ7RtxK" "Wed May 03 08:32:07 +0000 2017" True
whiletruetype "// Cucco | C# https://t.co/MoAWFjobn0" "Tue May 02 08:31:21 +0000 2017" True
whiletruetype "# good fences make good neighbors | Python https://t.co/d54Y3j6Fob" "Mon May 01 08:31:10 +0000 2017" True
whiletruetype "// no pain, no gain | Java https://t.co/KvVAVOe7Fw" "Sun Apr 30 08:31:15 +0000 2017" True
whiletruetype "// princes mononoke | C++ https://t.co/uCxXIzklDf" "Sat Apr 29 08:32:24 +0000 2017" True
whiletruetype "// best served cold | Objective-C https://t.co/zwwCRKSxE4" "Fri Apr 28 08:32:25 +0000 2017" True
whiletruetype "// monster door | C# https://t.co/62FUlh3UMs" "Thu Apr 27 08:32:10 +0000 2017" True
whiletruetype "// never say never | Python https://t.co/wi4G80D5sm" "Wed Apr 26 08:34:28 +0000 2017" True
whiletruetype "/* sic parvis magna */ | SQL https://t.co/cGUOgsgtwR" "Tue Apr 25 08:34:25 +0000 2017" True
whiletruetype "// fight fire with fire | C++ https://t.co/TVTNDscl7l" "Mon Apr 24 08:34:20 +0000 2017" True
whiletruetype "// let it go | Swift https://t.co/R6fJxr8xjd" "Sun Apr 23 08:30:35 +0000 2017" True
whiletruetype "// you can lead a horse to water, but you can’t make it drink | Java https://t.co/IJi3Z7Lq6l" "Sat Apr 22 08:35:17 +0000 2017" True
whiletruetype "// mad world | C# https://t.co/Evc2Y18WuS" "Fri Apr 21 08:31:09 +0000 2017" True
whiletruetype "// repetition is the mother of memory | C++ https://t.co/52kViBQZcX" "Thu Apr 20 08:31:27 +0000 2017" True
whiletruetype "// ウォール・シーナ | JSON https://t.co/QrelbnP9FG" "Wed Apr 19 08:31:23 +0000 2017" True
whiletruetype "// he who doesn’t advance goes backwards | C https://t.co/riSEdFvcYM" "Tue Apr 18 08:31:17 +0000 2017" True
whiletruetype "// rage | Objective-C https://t.co/07oCzxTDDg" "Mon Apr 17 08:32:15 +0000 2017" True
whiletruetype "// once a thief, always a thief | Swift https://t.co/DPHFO6a8JU" "Sun Apr 16 08:32:16 +0000 2017" True
whiletruetype "// just keep swimming | C++ https://t.co/vVHUtba2WS" "Sat Apr 15 08:32:12 +0000 2017" True
whiletruetype "// curiosity deallocated the cat | C# https://t.co/zX66zDerXF" "Fri Apr 14 08:34:31 +0000 2017" True
whiletruetype "// ka | Java https://t.co/7tZBjhF6N2" "Thu Apr 13 08:34:24 +0000 2017" True
whiletruetype "# when one door closes, another opens | Python https://t.co/MkbwMs8vKp" "Wed Apr 12 08:34:27 +0000 2017" True
whiletruetype "// heathens | Objective-C https://t.co/xKkoc3aAUw" "Tue Apr 11 08:34:22 +0000 2017" True
whiletruetype "// don’t burn your house to rid it of the mouse | Swift https://t.co/ImKbMWiLwM" "Mon Apr 10 08:34:21 +0000 2017" True
whiletruetype "// after all this time? | C# https://t.co/yHr8JG7d3Z" "Sun Apr 09 08:34:21 +0000 2017" True
whiletruetype "// if you want a thing done right, do it yourself | JavaScript https://t.co/8S7BjdcxbO" "Sat Apr 08 08:35:28 +0000 2017" True
whiletruetype "// and now my watch begins | C++ https://t.co/8Xbt2OP0hh" "Fri Apr 07 08:30:39 +0000 2017" True
whiletruetype "// follow glory and it will flee, flee glory and it will follow thee || Java https://t.co/LJb4E6UwIG" "Thu Apr 06 08:35:10 +0000 2017" True
whiletruetype "// what a wonderful world | Python https://t.co/jlxaJM3JmU" "Wed Apr 05 08:31:10 +0000 2017" True
whiletruetype "// the grass is always greener on the other side | Objective-C https://t.co/tsluh2gGv8" "Tue Apr 04 08:31:11 +0000 2017" True
whiletruetype "// meet the coder | Swift https://t.co/lOYgdZbGaQ" "Mon Apr 03 08:31:14 +0000 2017" True
whiletruetype "// the nail that sticks up will be hammered down | C# https://t.co/Ux3DaNFKRi" "Sun Apr 02 08:31:11 +0000 2017" True
whiletruetype "// penny? | C++ https://t.co/uUlJ9mrm97" "Sat Apr 01 08:31:06 +0000 2017" True
whiletruetype "// you can’t have your cake and eat it too | Java https://t.co/uh04cOJ9Qe" "Fri Mar 31 08:31:35 +0000 2017" True
whiletruetype "# prepare to die | Python https://t.co/KtZ7XIK8Y1" "Thu Mar 30 08:37:29 +0000 2017" True
whiletruetype "// the last will be first, and the first last | Swift https://t.co/JgP77bZ4cj" "Wed Mar 29 08:37:33 +0000 2017" True
whiletruetype "// naming done by the internet | JavaScript https://t.co/hUK3dpBJ75" "Tue Mar 28 08:37:26 +0000 2017" True
whiletruetype "// joy shared, joy doubled: sorrow shared, sorrow halved | C# https://t.co/kIHJWclSIZ" "Mon Mar 27 08:37:39 +0000 2017" True
whiletruetype "// red bool | C++ https://t.co/LG4G2GoCWd" "Sun Mar 26 09:32:44 +0000 2017" True
whiletruetype "// two wrongs don’t make a right | Objective-C https://t.co/5eJ6lanBMg" "Sat Mar 25 09:32:05 +0000 2017" True
whiletruetype "// cell | Java https://t.co/szD7rlsHxU" "Fri Mar 24 09:34:20 +0000 2017" True
whiletruetype "// rats desert a sinking ship | Swift https://t.co/r8VvyOI2R4" "Thu Mar 23 09:34:06 +0000 2017" True
whiletruetype "# the demon barber | Python https://t.co/VnJMfgzxJc" "Wed Mar 22 09:32:27 +0000 2017" True
whiletruetype "// a bellyful is one of meat, drink, or sorrow https://t.co/eKYOWRc1Sr" "Tue Mar 21 09:30:34 +0000 2017" True
whiletruetype "// hello, IT | Java https://t.co/3M1q6eTU7x" "Mon Mar 20 09:30:32 +0000 2017" True
