pseudophan 162805774355 "2017-07-10 01:47:57 GMT" http://pseudophan.tumblr.com/post/162805774355/tell-me-on-anon-what-youd-never-tell-me-off-anon  True text
pseudophan 162803456955 "2017-07-10 00:32:29 GMT" http://pseudophan.tumblr.com/post/162803456955/i-got-a-sunburn-at-pride-the-sun-is-homophobic "i got a sunburn at pride the sun is homophobic" True text
pseudophan 162802536165 "2017-07-10 00:03:05 GMT" http://pseudophan.tumblr.com/post/162802536165/im-bored-but-im-so-exhausted-i-cant-actually-do "i’m bored but i’m so exhausted i can’t actually do anything pls talk to me" True text
pseudophan 162791497040 "2017-07-09 18:26:36 GMT" http://pseudophan.tumblr.com/post/162791497040/please-stop-messaging-me-about-watermelon-of "please stop messaging me about watermelon of course the uk has watermelon why the fuck would we not have watermelon" True text
pseudophan 162783514710 "2017-07-09 13:58:39 GMT" http://pseudophan.tumblr.com/post/162783514710/im-home-hello-did-anyone-miss-me "i’m home hello did anyone miss me" True text
pseudophan 162748790975 "2017-07-08 16:00:29 GMT" http://pseudophan.tumblr.com/post/162748790975/pseudophan-being-gay-is-gay-culturw-typos-are "pseudophan: being gay is gay culturw typos are gay culture" False text
pseudophan 162748643495 "2017-07-08 15:55:17 GMT" http://pseudophan.tumblr.com/post/162748643495/being-gay-is-gay-culturw "being gay is gay culturw" True text
pseudophan 162741876980 "2017-07-08 11:03:51 GMT" http://pseudophan.tumblr.com/post/162741876980/pseudophan-in-london-and-like-there-are-so-many "pseudophan: in london and like there are so many gays here wtf ew :/// fr tho r a i n b o w s  e v e r y w h e r e it’s lit" False text
pseudophan 162741857460 "2017-07-08 11:02:53 GMT" http://pseudophan.tumblr.com/post/162741857460/in-london-and-like-there-are-so-many-gays-here-wtf "in london and like there are so many gays here wtf ew :///" True text
pseudophan 162724975995 "2017-07-07 23:48:33 GMT" http://pseudophan.tumblr.com/post/162724975995/pseudophan-phanthony-if-phan-and-anthony-had "pseudophan: phanthony if phan and anthony had a threesome wouldn’t it just be phil having sex with dan^2" False text
pseudophan 162724859030 "2017-07-07 23:44:24 GMT" http://pseudophan.tumblr.com/post/162724859030/phanthony phanthony True text
pseudophan 162724647160 "2017-07-07 23:37:01 GMT" http://pseudophan.tumblr.com/post/162724647160/i-cant-believe-im-probably-gonna-miss-the-new "i can’t believe i’m probably gonna miss the new dnp video because of pride. a gay-on-gay crime :/" True text
pseudophan 162719557800 "2017-07-07 20:52:26 GMT" http://pseudophan.tumblr.com/post/162719557800/philscurls-im-sure-the-gaming-video-was "philscurls: i’m sure the gaming video was delayed for anthony’s vid and not bc it’s date night,,," False text
pseudophan 162716683110 "2017-07-07 19:19:01 GMT" http://pseudophan.tumblr.com/post/162716683110/no-offense-but-anthony-padilla-makes-the-best "no offense but anthony padilla makes the best content on youtube" True text
pseudophan 162713279530 "2017-07-07 17:20:54 GMT" http://pseudophan.tumblr.com/post/162713279530/armsocks-why-are-fandom-people-so-melodramatic "armsocks: why are fandom people so melodramatic  " False text
pseudophan 162696862345 "2017-07-07 05:22:21 GMT" http://pseudophan.tumblr.com/post/162696862345/interesting interesting…. True text
pseudophan 162693383125 "2017-07-07 03:30:38 GMT" http://pseudophan.tumblr.com/post/162693383125/cringe-attacks-dan-answering-a-question-meant "cringe-attacks: dan answering a question meant for him with his own opinion: ▶  🔘──────── 00:02 dan answering a question meant for him with phil’s opinion:  ▶  🔘──────── 1:43:57" False text
pseudophan 162687384875 "2017-07-07 00:19:54 GMT" http://pseudophan.tumblr.com/post/162687384875/mesmericphilip-dans-liveshows-what-is-gender "mesmericphilip: dan’s liveshows: what is gender, really. society has created this concept that has been embedded into our minds since birth, which when you think abo phil’s liveshows: i’m phil and grapefruits are weird " False text
pseudophan 162687334925 "2017-07-07 00:18:19 GMT" http://pseudophan.tumblr.com/post/162687334925/griffinpuff2009phan-pseudophan-i-wanna-heat "griffinpuff2009phan: pseudophan: i wanna heat up a pizza baguette but like i don’t really need to eat a pizza baguette  What the heckle is a pizza baguette??????Do u mean a hot pocket??????  pizza baguette" False text
pseudophan 162687244615 "2017-07-07 00:15:20 GMT" http://pseudophan.tumblr.com/post/162687244615/i-wanna-heat-up-a-pizza-baguette-but-like-i-dont "i wanna heat up a pizza baguette but like i don’t really need to eat a pizza baguette " True text
pseudophan 161701075615 "2017-06-11 17:11:16 GMT" http://pseudophan.tumblr.com/post/161701075615/welcome-to-the-black-parade-has-been-nominated-for "mymychemobsession: There’s enough of a fan base on this website to vote and make sure it wins" False link
pseudophan 159061425690 "2017-04-01 04:07:03 GMT" http://pseudophan.tumblr.com/post/159061425690/danandphilweed "phanfic: At the Sunday Market, Phil is bullied into buying a new houseplant. Turns out, it’s not really a ‘houseplant’. Tags: reality Word count: 1.6k Warnings: drug use" False link
pseudophan 156179504655 "2017-01-21 19:46:17 GMT" http://pseudophan.tumblr.com/post/156179504655/change-the-us-national-anthem-to-american-idiot "my friend made this sign it for the lolz" True link
pseudophan 154435773770 "2016-12-13 21:38:20 GMT" http://pseudophan.tumblr.com/post/154435773770/free-to-use-dan-and-phil-icons  True link
pseudophan 150831668315 "2016-09-23 20:39:03 GMT" http://pseudophan.tumblr.com/post/150831668315/this-is-fucking-art  True link
pseudophan 147734168725 "2016-07-21 05:11:16 GMT" http://pseudophan.tumblr.com/post/147734168725/fucking-awesome-sherlock-johnlock-merch "pseudophan: my friend @purrlockholmes has a redbubble store with lots of artwork and merch and it’s honestly all so good??? like i’m personally offended by the fact that not enough people are buying stuff. please please please check it out!!" False link
pseudophan 147698964520 "2016-07-20 14:47:19 GMT" http://pseudophan.tumblr.com/post/147698964520/dans-next-fashion-choice-probably  True link
pseudophan 147251882830 "2016-07-11 19:58:33 GMT" http://pseudophan.tumblr.com/post/147251882830/fucking-awesome-sherlock-johnlock-merch "my friend @purrlockholmes has a redbubble store with lots of artwork and merch and it’s honestly all so good??? like i’m personally offended by the fact that not enough people are buying stuff. please please please check it out!!" True link
pseudophan 144811064550 "2016-05-23 16:08:41 GMT" http://pseudophan.tumblr.com/post/144811064550/free-to-use-d-p-icons  True link
pseudophan 142485656135 "2016-04-09 00:13:02 GMT" http://pseudophan.tumblr.com/post/142485656135/phandom-cards-against-humanity "the password is sunnydale and i’m not even that sorry tbh" True link
pseudophan 141395074220 "2016-03-20 22:38:56 GMT" http://pseudophan.tumblr.com/post/141395074220/phandom-cards-against-humanity "pseudophan:the password is no" False link
pseudophan 141394522100 "2016-03-20 22:28:44 GMT" http://pseudophan.tumblr.com/post/141394522100/phandom-cards-against-humanity "the password is no" True link
pseudophan 140998402230 "2016-03-13 23:40:52 GMT" http://pseudophan.tumblr.com/post/140998402230/phandom-cards-against-humanity "the password is pricefield and i have no excuse" True link
pseudophan 140822069240 "2016-03-10 22:50:54 GMT" http://pseudophan.tumblr.com/post/140822069240/phandom-cards-against-humanity "pseudophan:the password is cuteanon" False link
pseudophan 140819699475 "2016-03-10 22:02:00 GMT" http://pseudophan.tumblr.com/post/140819699475/phandom-cards-against-humanity "the password is cuteanon" True link
pseudophan 140468532035 "2016-03-04 22:35:52 GMT" http://pseudophan.tumblr.com/post/140468532035/phandom-cards-against-humanity "the password is hawkeye" True link
pseudophan 139195725875 "2016-02-12 23:03:55 GMT" http://pseudophan.tumblr.com/post/139195725875/cards-against-humanity "the password is ‘downpour’" True link
pseudophan 138881047545 "2016-02-07 21:32:03 GMT" http://pseudophan.tumblr.com/post/138881047545/notimportant588-notimportant588-pseudophan "notimportant588: notimportant588: @pseudophan last one was wrong again. I’m a fail. the password is still PhanicattheDisco " False link
pseudophan 138814979785 "2016-02-06 21:59:32 GMT" http://pseudophan.tumblr.com/post/138814979785/cards-against-humanity-again "the password is TeamRocketHQ " True link
pseudophan 138742097140 "2016-02-05 19:01:56 GMT" http://pseudophan.tumblr.com/post/138742097140/phandom-cards-against-humanity "eoraline: pseudophan: the password is ‘zombiebrothel’ bc i mean why not i tried to make the password “the goddess ishtar” as a subtle in the flesh reference but alas anyway yes pls come join The Sin  it’s still a reference though so u 50% succeeded" False link
