glamour 97905924755 "2014-09-19 19:24:18 GMT" http://glamour.tumblr.com/post/97905924755  True text
glamour 97161790926 "2014-09-10 20:40:00 GMT" http://glamour.tumblr.com/post/97161790926  True text
glamour 92167804210 "2014-07-18 19:24:39 GMT" http://glamour.tumblr.com/post/92167804210/21-ways-to-tell-if-he-likes-you "He smiles at you. A lot. He laughs at your jokes, even the crappy ones. He defends you to others. He asks questions about you and your life beyond the generic “How you doin’?” or “Good weekend?” He jokes about dating you. You catch him staring at you. Your face, that is—if he’s staring at your boobs or butt, it could just mean he’s perving on you. He’s awkward whenever he talks to you. The first time I talked to my wife, I walked into a parking meter. Luckily for me, she found it adorable. He always uses your name when he talks to you. He knows your name and likes to say it. He calls you by a nickname/pet name. He asks you to “hang out” some time. (To a guy, the word date can be like garlic to a vampire, so they’ll say “hang out” instead. Whatever you call it, it still means he wants to be around you.) He calls you on the phone. Most guys hate talking on the phone. If a guy calls you, it means one of three things: you’re his best friend, he needs help with his homework, or he has the itchy pants for you. He acts more respectable and mature when you’re around. He compliments your appearance. “You look nice today” is guyspeak for “I’m attracted to you.” When he cracks a joke, you’re the first person he looks at for a reaction. He tries go get into the same classes as you. He asks your friends questions about you. He knows they will probably report back to you, but he doesn’t care. He touches you, even subtly—a hand on your arm, a pat on your back, a grab of your shoulders. Humans are naturally drawn to things that attract us—we want to look at them, touch them. If you find a guy’s hand on you, especially more than once, that’s a huge giveaway that he likes you. He asks you what you think about certain other guys. He’s trying to find out if you like anyone. He shares an iTunes playlist with you: the 21st century version of making you a mix tape. He asks your advice about other girls. This one could go either way, but getting your take on relationships could be his crafty way of finding out what you like and don’t like. Or maybe he’s just trying to make you jealous. He notices and remembers things about you that most people don’t. Your birthday. What you wore on a certain day. Your favorite TV show. When and where you met your best friend. What you had for lunch yesterday. Average Joe won’t remember that shit, even if you tell him. Hot For You remembers all of it (but if he knows stuff about you that you never told him—creeper alert!). via Smitten" True text
glamour 33314158578 "2012-10-10 20:05:00 GMT" http://glamour.tumblr.com/post/33314158578/lv-spring-2013-gif-by-michelle-rial-for " LV spring 2013 gif by Michelle Rial for Glamour.com" True text
glamour 30943853576 "2012-09-05 18:56:00 GMT" http://glamour.tumblr.com/post/30943853576/when-bill-cunningham-takes-your-friends-photo "When Bill Cunningham takes your friend’s photo.  When Bill Cunningham takes your photo. " True text
glamour 8397636744 "2011-08-02 21:00:05 GMT" http://glamour.tumblr.com/post/8397636744/get-flagged-for-cuteness-in-red-white-blue " Get flagged for cuteness in red, white, & blue." True text
glamour 6534158093 "2011-06-14 22:24:25 GMT" http://glamour.tumblr.com/post/6534158093/your-flirty-summer-dress-styled-just-right " Your flirty summer dress, styled just right." True text
glamour 6335102695 "2011-06-08 23:31:13 GMT" http://glamour.tumblr.com/post/6335102695/summer-piece-you-cant-live-without-bold-bright " Summer piece you can’t live without? Bold. Bright. Lace. Christopher Kane Laser-Cut Leather Clutch, $530 at Net-A-Porter.com" True text
glamour 6298569815 "2011-06-07 22:45:35 GMT" http://glamour.tumblr.com/post/6298569815/orange-you-glad-its-finally-sunny-karen-walker " Orange you glad it’s finally sunny? Karen Walker Pegs Sunglasses, $180 at Forward by Revolve" True text
glamour 6148847691 "2011-06-03 19:06:13 GMT" http://glamour.tumblr.com/post/6148847691/when-chic-attacks-noir-jewelry-shark-ring-120 " When chic attacks. Noir Jewelry Shark Ring, $120 at Zappos" True text
glamour 6049522152 "2011-05-31 22:18:28 GMT" http://glamour.tumblr.com/post/6049522152/we-heart-summer-sweet-heart-sunglasses-14-at " We heart summer.  Sweet Heart Sunglasses, $14 at Urban Outfitters" True text
glamour 5877642068 "2011-05-26 22:27:58 GMT" http://glamour.tumblr.com/post/5877642068/keep-it-cool-in-summer-whites-shrunken " Keep it cool in summer whites. Shrunken Fisherman Sweater, $88 at J.Crew" True text
