psliterary 162166268443 "2017-06-23 16:15:37 GMT" http://psliterary.tumblr.com/post/162166268443/deal-news-the-night-she-fell-by-christina  True text
psliterary 161812878907 "2017-06-14 13:15:10 GMT" http://psliterary.tumblr.com/post/161812878907/deal-news-counter-offer-by-dr-meg-myers-morgan "Watch her honest & inspiring TEDx Talk “Negotiating for Your Life” " True text
psliterary 161773398202 "2017-06-13 13:00:23 GMT" http://psliterary.tumblr.com/post/161773398202/happy-book-birthday-to-the-seven-husbands-of "From Taylor Jenkins  Reid comes an unforgettable and sweeping novel about one classic film  actress’s relentless rise to the top—the risks she took, the loves she  lost, and the long-held secrets the public could never imagine.Evelyn  Hugo is finally ready to tell the truth about her glamorous and  scandalous life. But when she chooses unknown magazine reporter Monique  Grant for the job, no one in the journalism community is more astounded  than Monique herself. Why her? Why now?Monique is not exactly on  top of the world. Her husband, David, has left her, and her career has  stagnated. Regardless of why Evelyn has chosen her to write her  biography, Monique is determined to use this opportunity to jumpstart  her career.Summoned to Evelyn’s Upper East Side apartment,  Monique listens as Evelyn unfurls her story: from making her way to Los  Angeles in the 1950s to her decision to leave show business in the late  80s, and, of course, the seven husbands along the way. As Evelyn’s life  unfolds through the decades—revealing a ruthless ambition, an unexpected  friendship, and a great forbidden love—Monique begins to feel a very a  real connection to the actress. But as Evelyn’s story catches up with  the present, it becomes clear that her life intersects with Monique’s  own in tragic and irreversible ways.Filled with emotional  insight and written with Reid’s signature talent, this is a fascinating  journey through the splendor of Old Hollywood into the harsh realities  of the present day as two women struggle with what it means—and what it  takes—to face the truth. Now Available!Publisher | Amazon | B&N | Chapters Indigo | Book Depository" True text
psliterary 161735168215 "2017-06-12 13:48:30 GMT" http://psliterary.tumblr.com/post/161735168215/deal-news-the-girls-of-march-by-ruthanne-snow  True text
psliterary 161564935335 "2017-06-08 01:10:58 GMT" http://psliterary.tumblr.com/post/161564935335/cover-reveal-eat-your-feelings-by-lindsey-smith "Lindsey Smith revealed the cover for her upcoming cookbook Eat Your Feelings today! It’s heading your way January 2018 from Wednesday Books. Pre-order today for 50% off!!!" True text
psliterary 161543629412 "2017-06-07 13:00:29 GMT" http://psliterary.tumblr.com/post/161543629412/canadas-funniest-online-sensation-is-back-to "Canada’s funniest online sensation is back to celebrate the country’s  150th anniversary–bigger, bolder, and only 10% reused material!Want  to know what the hottest new Canadian apps are? Need a handy chart to  help you decide what Can-Con music to listen to? How about the top  Google searches across the nation? In this handy guide to Canada, the  tireless experts at @stats_canada reveal all the must-know quirks from  coast to coast to frigid coast.  From helpful tips on the  Vancouver housing market to planning the ultimate Montreal bachelor  party, Stats Can is on the case. And discover just how Canadian you are  with the official checklist, not to mention the Tim Hortons etiquette  quiz.  With crucial updates about Canada on its big birthday, and all the stats, charts, and graphs to back them up, 150 Years of Stats Canada! is the perfect way to celebrate everything we love about this great country. Disclaimer: still 100.6% not affiliated with Statistics CanadaNow available from Penguin Canada!Publisher | Amazon.ca | Chapters Indigo" True text
psliterary 161504773207 "2017-06-06 13:00:40 GMT" http://psliterary.tumblr.com/post/161504773207/happy-book-birthday-to-savage-rising-by-c-hoyt "The diminutive but tenacious Deputy Dani Savage teams up with a pair  of eccentric outsiders in this tale of moonshine and murder—a rollicking  thriller of the Appalachian backwoods, for fans of Justified.  Still trying to prove to the good folks of Baptist Flats, Tennessee,  that a woman who’s five-foot-nothing has the mettle to wear a badge,  Dani is called in to investigate the death of a man found in a horse’s  stall with his pants around his ankles. At first it appears to be a  simple accident, but things turn complicated when the victim’s only ID  belongs to an ATF agent. A female ATF agent. A missing female ATF agent.  To make matters worse, a mystery man named Jack Spivey has come to  town, asking questions about the ATF agent’s disappearance and promising  a world of pain when he doesn’t like the answers. Then an Amazonian  ex-Marine joins in, and Dani has no choice but to team up with these  shadowy strangers. As they follow a twisted trail of clues into the  mountains, they uncover a chilling conspiracy—and a common enemy who’s  trained to kill.Now Available from Penguin Random House!Publisher | Amazon | B&N | Kobo | ibook " True text
psliterary 161430786592 "2017-06-04 16:30:18 GMT" http://psliterary.tumblr.com/post/161430786592/no-fears-no-excuses-gets-a-new-cover "    New cover! #NoFearsNoExcuses second edition 🎈 A post shared by P.S. Literary Agency (@psliteraryagency) on Jun 2, 2017 at 11:02am PDT " True text
psliterary 161259580840 "2017-05-31 00:37:34 GMT" http://psliterary.tumblr.com/post/161259580840/cover-reveal-love-hate-other-filters-by-samira "Paste Magazine reveals the cover for Samira’s highly anticipated debut, Love, Hate & Other Filters! Coming January 2018 from Soho Teen. Now available for pre-order! In this unforgettable debut, a Muslim teen copes with Islamophobia,  cultural divides among peers and parents, and a reality she can neither  explain nor escape. American-born 17-year-old Maya Aziz is torn between worlds.  There’s the proper one her parents expect for their good Indian  daughter: attending a college close to their suburban Chicago home, and  being paired off with an older Muslim boy who’s “suitable” to her  mother. And then there is the world of her dreams: going to film school  and living in New York City—and maybe, just maybe, pursuing a boy she’s  known from afar her entire life who’s suddenly falling into her orbit at  school.     But unbeknownst to Maya, there is a danger looming beyond her  control. When a terrorist attack occurs in another Midwestern city, the  prime suspect happens to share her last name. In an instant, Maya’s  community, consumed by fear and hatred, becomes unrecognizable, and her  life changes forever.    Amazon | Barnes & Noble | Chapter’s Indigo | Book Depository" True text
psliterary 161239758763 "2017-05-30 13:15:20 GMT" http://psliterary.tumblr.com/post/161239758763/happy-book-birthday-to-the-antique-house-murders "In this irresistible cozy  mystery from the author of The Book Club Murders, amateur sleuth Charley  Carpenter fights to avenge a crime that hits far too close to home.Mulbridge  House stood, silent and decaying, deep in the woods at the heart of  Oakwood, Ohio, long before the passing of Augusta Mulbridge. Yet  suddenly everyone in town seems to have a stake in its fate: the greedy  heirs, eager to tear it down for a tidy profit; the local  preservationists, determined to maintain it as an historic site; the  angry neighbors, staunchly opposed to the construction of a modern  subdivision. Even Charley Carpenter is forced to admit that her beloved  shop, Old Hat Vintage Fashions, could use an infusion of the estate’s  treasures.The clock is ticking. The wrecking ball is ready to  swing. All that stands between Mulbridge House and oblivion is one final  vote. That, and murder …The trouble begins when Charley walks  into auctioneer Calvin Prescott’s office to find her cherished family  friend crumpled on the floor. Detective Marcus Trenault quickly connects  his death to a string of increasingly violent burglaries plaguing  Oakwood. But when Charley uncovers a link to a massive land swindle  worth millions, not to mention a drug ring operating out of the manor’s  abandoned outbuildings, that theory crumbles faster than Mulbridge  House. Now Charley’s racing to catch a killer before everything falls  apart.Now available from Penguin Random House!Publisher | Amazon | Barnes & Noble | Kobo" True text
psliterary 161093638698 "2017-05-26 14:00:43 GMT" http://psliterary.tumblr.com/post/161093638698/the-antique-house-murders-blog-tour "Book two in Leslie Nagel’s Oakwood Mystery Series is heading your way Tuesday. Today we’re celebrating by kicking off the blog tour!! Follow along all week for reviews, interviews and spotlights.May 26th - Bibliophile Reviews - REVIEW May 27th - Christa Reads and Writes - REVIEW May 27th - The Girl with Book Lungs - INTERVIEW May 28th - A Blue Million Books - INTERVIEW May 28th - Storybook Reviews - SPOTLIGHT May 29th - Laura’s Interests - REVIEW May 29th - The Books The Thing – REVIEW & INTERVIEW May 30th - The Girl with Book Lungs - REVIEW May 30th - Bella Reads & Reviews - REVIEW May 31st - Sleuth Café - SPOTLIGHT & REVIEW" True text
