sagansense 160985290710 "2017-05-23 14:22:35 GMT" https://sagansense.tumblr.com/post/160985290710/a-breakthrough-in-the-coal-industry-is-not-the  True text
sagansense 160974563505 "2017-05-23 05:07:53 GMT" https://sagansense.tumblr.com/post/160974563505/poison-dart-frogs-sometimes-inhabit-pitcher-plants  True text
sagansense 160959865073 "2017-05-22 21:00:26 GMT" https://sagansense.tumblr.com/post/160959865073/true-breakthroughs-crazy-ideas-passion "peterdiamandis: “The day before something is a breakthrough, it’s a crazy idea.” I first heard this phrase from Burt Rutan, the man who designed and built SpaceShipOne, the brilliant vehicle that won the $10 million Ansari XPRIZE. As Rutan explained it to me, if the breakthrough idea wasn’t considered “crazy” just a few days ago, then it’s not a true breakthrough. A computer that is 10% or 20% faster is predictable and incremental.   Going from vacuum tubes to silicon for computation, on the other hand, is a real breakthrough. This mantra fueled me to push past the criticism for many of my own crazy ideas. To ignore the many “experts” who said it couldn’t be done, and ultimately to bend reality toward the future I passionately desired. If I had to name my superpower, it would be persistence (or grit) — i.e. not giving up, even when everyone is telling me that it isn’t going to work. In reality, many of my successes have taken me 10 years or more to implement.   Here are a couple of stories: Zero-G: In 1993, I wanted to fly on NASA’s zero-g (KC-135) plane used to simulate weightlessness and train NASA’s astronauts. As much as I tried, NASA turned me down. My response was, “Okay, screw it. If I want to experience it that much, I bet others do as well… I’ll start a zero-g company myself.” So I did. Along with my co-founders – astronaut Byron Lichtenberg and NASA scientist Ray Cronise – I became CEO of a company called Zero Gravity Corporation, or Zero-G. Back in May 1993 we had our first meeting with the FAA. Their response? “YOU WANT TO DO WHAT? My answer: “Put 36 people in an airplane, take off their seat belts, put the plane into a parabolic maneuver, 50 degrees nose up, over the top, and then 50 degrees nose down, where they can float in the center of the cabin for 30 seconds.” This is where my passion hit a bureaucratic decade-long brick wall. It took us 11 years of constant pressure, hard work, and outlasting bureaucrats to become operational, which finally happened in September of 2004. Since then, I’m proud to say that we’ve flown over 20,000 people ranging from age 7 to 93, including Professor Stephen Hawking and wheelchair-bound children, into weightlessness. You can book your flight here: www.GoZeroG.com. XPRIZE Foundation: I first read Charles Lindbergh’s book, Spirit of St. Louis, in December 1993. I learned that Lindbergh flew from New York to Paris in 1927 to win a $25,000 prize. It was that leverage and efficiency of an incentive prize that led me to propose the idea of a $10 million purse for the first person to build and fly a reusable private spaceship carrying three people into space on two flights within two weeks. In May of 1996, without the prize money in hand, I went onstage under the St. Louis Arch and announced the $10 million XPRIZE anyway. I thought (mistakenly) that someone would quickly fund the $10 million prize purse. After all, you didn’t pay out the prize money until after a team had successfully completed both flights. Between 1996 and 2001, I pitched 150+ sponsors, and received 150 “no’s”. Finally (long story) in 2002, I met the Ansari family, who ultimately funded the $10 million purse (we named it the Ansari XPRIZE in their honor). Two years later on October 4, 2004, the XPRIZE was won. It took 12 years, from concept to Prize Award… Once again, this was a tale about grit, persistence and making my own luck. Today, as the XPRIZE Foundation is hitting its stride, the Foundation is now 24 years old with over $300 million in awarded, funded and/or designed XPRIZEs. Two Questions for You: I have two questions for you… Where in your organization do you allow crazy ideas to be funded and attempted? If that doesn’t exist, have you committed yourself to only pursuing incremental improvement? Or do you plan to buy your innovation from the outside world? What do you believe in strongly enough that you will dedicate a decade to its pursuit, and be able to withstand 150 ‘no’s’? At the end of the day, the formula for a true breakthrough is equal to “having a crazy idea” you believe in plus the passion to pursue that idea against all naysayers and obstacles. Interested in Joining Me? (Two options) 1. A360 Executive Mastermind: This is the sort of conversation I explore at my Executive Mastermind group called Abundance 360. The program is highly selective, for 360 abundance and exponentially minded CEOs (running $10M to $10B companies). If you’d like to be considered, apply here. Share this with your friends, especially if they are interested in any of the areas outlined above. 2. A360 Digital Mastermind: I’ve also created a Digital/Online community of bold, abundance-minded entrepreneurs called Abundance 360 Digital (A360D). A360D is my ‘onramp’ for exponential entrepreneurs – those who want to get involved and play at a higher level. Click Here to Learn More. P.S. Every week I send out a “Tech Blog” like this one. If you want to sign up, go to Diamandis.com and sign up for this and Abundance Insider. © PHD Ventures, 800 Corporate Pointe, Cuver City, California, 90230, United States  manage your email preferences Unsubscribe from all future emails " False text
sagansense 160957872003 "2017-05-22 20:00:32 GMT" https://sagansense.tumblr.com/post/160957872003/climate-change-is-like-pancake-batter "thescalexwrites: The chaos in the kitchen: how ecosystems are like pancakes. (Yum?) To put this not-so-eloquently, Earth’s ecosystems are like grandma’s famous pancakes: her recipe, when followed correctly, produces the fluffiest, tastiest, most golden-brown pancakes of anyone in town. That’s where Earth’s ecosystems have been for millions of years. Before her recipe—that is, before Earth had stable ecosystems—too little or not all of the ingredients existed to make that perfect batter. No matter how hard you tried, it couldn’t be done. Now imagine grandma’s recipe was so good that your family opened a restaurant. For years, it was the talk of the town. Now you’ve taken over, but other breakfast restaurants have opened in recent years, and some of them serve breakfast food 24/7.  To stay in business, you’ve adopted a new strategy: you turn off your water supply and every day, customers bring their own water to help you save money for better advertising. Today, you have all the ingredients to serve 1,000 people. All your customers come in, and one by one, you add their water to the mixture—the mixture that everyone is eating from, mind you. At first, as you’re adding water to the mixture, it all seems to be going fine. It’s almost to the right consistency when you get a phone call, so you step away. While you’re gone, everyone in line pays your assistant, who is lazy and just lets whoever brought water dump it in the batter…without filtering it. Worse yet, some people didn’t measure how much water they actually had; they just filled glasses of different sizes and dumped them in. When you get back from your phone call, you look inside the vat and see that the batter is soupy, watered-down, and has dust and dirt from people’s unfiltered water. But it’s too late now. Most people are sitting at tables, eagerly waiting for their stack of grandma’s famous pancakes. There are a few people left in line waiting to pay, and a few of them brought glasses of water. In anger, you take their money, but tell them to dump their water in a flower pot and go sit down. To compensate for the soupy batter, you cook the pancakes longer than grandma’s recipe says to, hoping the excess water will cook out and save the pancakes. But no: they spread out until they’re thin as paper. So you turn up the heat—and the pancakes start to burn. Outside, people are getting restless. They paid good money for grandma’s famous pancakes, and they all have places to be and things to do. Several of them come back to the kitchen to ask what’s taking so long, only to see you scrambling around and yelling at your assistant for being so negligent. When the small band of customers asks what’s going on, you angrily tell them the pancakes will be out soon. Unconvinced, the customers go back to the dining room and explain what they saw. Some of the first-time customers leave; they like the other restaurants anyway. The long-time customers—those who have been loyal for years—refuse to believe that the pancakes could be ruined, and tell other customers how grandma’s pancakes are the best they’ve ever had, and how, if people leave, they will never find better pancakes anywhere in the world, ever. The customers who witnessed the chaos in the kitchen argue with the long-time customers, but are called out as liars who are trying to promote competing restaurants. In the confusion, some undecided customers peek inside the kitchen, see the chaos, and sneak out of the restaurant. One stays behind and manages to convince a few loyalists to go see the chaos in the kitchen for themselves. Those who refuse, say, “We’ve never gone back to see it before, and the pancakes always come out fine. Why should this be any different?” By this time, you have managed to produce a couple good-looking pancakes and threw them on top of the pile to cover them up the terrible ones. Still, a majority are coming out ruined, and there’s no way you’re going to feed everyone in the restaurant. Then the door opens, and a few of your most loyal customers see the good-looking pancakes you threw on top. You just smile and assure them their pancakes will be out soon. Some, however, notice you covering up the burnt and watered-down pancakes, and leave the restaurant. Some switch sides and say the restaurant is clearly failing and needs to be shut down, while others say that nothing like this will ever happen again. When you finally manage to cook a few dozen good pancakes and several hundred bad-but-edible ones, you roll them out to the dining room—only to see that, of the 1,000 people who were in your restaurant this morning, a mere 300 remain. You force yourself to smile and start serving them. Only the first ten customers get the best pancakes of the batch, and don’t notice the ruined ones underneath, and promise to bring even more water the next day to compensate for the idiots who walked out. They go on eating breakfast happily, their consciences clear. But then the best pancakes are gone, and other customers pick at their pancakes in disgust, or throw them in the trash, refusing to accept the pancakes at all. And when all the pancakes are gone, there are still 100 people who haven’t been served at all, and demand refunds, or storm out and vow never to eat at your restaurant again. The point of the story is this: fossil fuels were once the best-of-the-best. Yes, they provided the foundation society needed to get its feet off the ground, but then they got too big, and started doing long-term damages. Some people turned to more sustainable energies and grew their own niche markets that provided energies around-the-clock, which was attractive to an even larger market. Now that fossil fuels are being proven to have adverse effects on Earth’s ecosystems, people are switching to the sustainable resources, which are becoming cheaper and more abundant every day. Only the loyalists, the people who have been in the business their entire lives, refuse to see what’s going on behind the scenes and keep supplying the necessary economic resources. Only by educating the general public, showing them the damages for themselves, and converting them to cleaner, ever-cheapening, and near-infinite energy sources can we begin to heal Earth’s damaged ecosystems. “But it’s tradition” is no longer a valid excuse. There will always be a better recipe. " False text
sagansense 160884802994 "2017-05-20 21:00:10 GMT" https://sagansense.tumblr.com/post/160884802994/thedailyshow-yale-professor-timothy-snyder "thedailyshow: Yale professor Timothy Snyder explains how democracies fall. " False text
sagansense 160881580195 "2017-05-20 19:09:13 GMT" https://sagansense.tumblr.com/post/160881580195/action-alert-protect-federal-library-funding "libraryadvocates: libraryadvocates:  continuants:  libraryadvocates:  The Trump Administration recently released its proposed federal  budget for FY2018. The Institute of Museum of Library Services (IMLS),  the independent agency that administers the bulk of federal library  funding under the Library Services and Technology Act (LSTA),is included  in the list of independent agencies whose budgets the proposal  recommends eliminating. There’s an easy way for you to help  - call your Senator today and ask them to sign the Dear Appropriator letters supporting LSTA and IAL.  These letters support $186.6 million for the Library  Services and Technology Act, which goes to every state in the country  for them to decide how best to use it, and $27 million for the  Innovative Approaches to Literacy Program that buys books and other  supplies for kids from the poorest communities across the country. For more information about these programs, check out our other posts about appropriations.  Members of the Senate have only until May 19th to sign the separate LSTA and IAL “Dear  Appropriator” letters now circulating.  Use ALA’s Legislative Action Center today  to ask your Senators to sign both the LSTA and IAL letters. Many Members of Congress will only sign such a letter if their  constituents ask them to, so it’s up to you to help save LSTA and IAL  from elimination or significant cuts. Five minutes of your time could help preserve over $210 million in library funding now at risk. Want to do even more to protect libraries? Sign up to participate on National Library Legislative Day or sign up for our Thunderclap.  Here’s a script to call your senators with too!! https://5calls.org/issue/recHdH6wTPGIWykFi  There are only a few days left to call!   Please give your Senators a call and encourage them to support federal library funding. " False text
sagansense 160828438900 "2017-05-19 05:00:18 GMT" https://sagansense.tumblr.com/post/160828438900/how-sleeping-helps-us-learn "nationalsciencefoundation:  Most scientists believe that sleep plays an important role in memory. Getting a good night’s sleep after learning something new seems to help you remember it later, whether it is a new motor skill (like a series of repetitive movements) or a new cognitive skill (like memorizing a poem). The way the brain processes and stores these two types of learning (implicit or explicit) is important to understanding how our brains work with implications for learning, education, and the treatment of diseases involving memory loss. Knowing that sleep plays a role in all of this is one thing. Understanding exactly how this happens in the brain is another. New research from Edwin Robertson at the University of Glasgow and Jocelyn Breton at the University of California, Berkeley helps clarify the role sleep plays in these two different types of learning. Participants in the study were asked to play a game like the electronic memory game Simon. They had to push a button on a keyboard that corresponded to one of 4 possible positions of a circle on their screen. All participants received the same 12-item long repeating sequence. In the first group (the explicit learning group), the participants were told that they should try to learn the sequence and were given clues to when the sequence would begin again. In the second group (the implicit learning group) the participants were simply told to push the keys correctly as quickly as possible. The researchers then used a technique called Transcranial Magnetic Stimulation (TMS) that allows them to temporarily turn off specific neural circuits in the brain to test the role of two circuits in storing the sequence in the brain. After a night of sleep, the participants were then tested to recall as much of the sequence as possible. The researchers found that two independent brain circuits mediate the improvement in explicit and implicit learning that typically occurs with sleep. When the participants learned a skill through the repetitive motion alone, the memory was learned through a circuit in the inferior parietal lobe. When they learned by consciously trying to remember the sequences, the learning was stored through a different circuit in the primary motor cortex. This suggests that awareness of learning, even the same sequence, can alter the circuit supporting learning and subsequent memory enhancement over sleep. Overall, the same memory enhancement over a night of sleep can be achieved through different circuits. This work was published this week in Nature Human Behaviour. " False text
sagansense 160826430745 "2017-05-19 03:48:41 GMT" https://sagansense.tumblr.com/post/160826430745/thescalexwrites-new-plan-take-all-the-climate "thescalexwrites:New plan: take all the climate change deniers and big oil companies and put them on Mars, where denying climate change would actually benefit humanity because they would unwittingly terraform Mars into a habitable environment. Fuck Mars. Leave em and let’s go play somewhere else." False text
sagansense 160818342467 "2017-05-18 23:00:30 GMT" https://sagansense.tumblr.com/post/160818342467/how-humans-change-space-itself "nasa: It’s no surprise that humans influence the surface of our planet, but our reach can go farther than that. Humans affect space, too. We know storms from the sun can naturally change the space environment around Earth, which can have an impact on satellites and power grids. Scientists now know that Cold War era nuclear tests in the 1950s caused similar effects. Particles around Earth are organized into layers known as radiation belts. These 1950s tests created a temporary extra layer of radiation closer to Earth.  The effects of this could be seen all around the world. Aurora appeared at the equator instead of the poles, utility grids in Hawaii were strained, and in some cases, satellites above test sites were affected.  Some types of communications signals can also affect Earth’s radiation belts.  Very low-frequency waves, or VLFs, are used for radio communications. They are often used to communicate with submarines, because these waves can penetrate deep into the ocean.  The waves can also travel far into the space environment around Earth. When these waves are in space, they affect how high-energy particles move, creating a barrier against natural radiation. The outer edge of this radio-wave barrier corresponds almost exactly the inner edge of Earth’s natural radiation belts – meaning it could be human activity that at least partly shapes this natural radiation around Earth.   For more NASA sun and space research, visit www.nasa.gov/sunearth and follow us on Twitter and Facebook. Make sure to follow us on Tumblr for your regular dose of space: http://nasa.tumblr.com " False text
sagansense 160815458940 "2017-05-18 21:22:35 GMT" https://sagansense.tumblr.com/post/160815458940/im-losing-followers-like-trump-is-losing-approval  True text
sagansense 160809477241 "2017-05-18 18:00:19 GMT" https://sagansense.tumblr.com/post/160809477241/neutron-stars-are-weird "nasa: There, we came right out and said it. They can’t help it; it’s just what happens when you have a star that’s heavier than our sun but as small as a city. Neutron stars give us access to crazy conditions that we can’t study directly on Earth. Here are five facts about neutron stars that show sometimes they are stranger than science fiction!  1. Neutron stars start their lives with a bang When a star bigger and more massive than our sun runs out of fuel at the end of its life, its core collapses while the outer layers are blown off in a supernova explosion. What is left behind depends on the mass of the original star. If it’s roughly 7 to 19 times the mass of our sun, we are left with a neutron star. If it started with more than 20 times the mass of our sun, it becomes a black hole. 2. Neutron stars contain the densest material that we can directly observe While neutron stars’ dark cousins, black holes, might get all the attention, neutron stars are actually the densest material that we can directly observe. Black holes are hidden by their event horizon, so we can’t see what’s going on inside. However, neutron stars don’t have such shielding. To get an idea of how dense they are, one sugar cube of neutron star material would weigh about 1 trillion kilograms (or 1 billion tons) on Earth—about as much as a mountain. That is what happens when you cram a star with up to twice the mass of our sun into a sphere the diameter of a city. 3. Neutron stars can spin as fast as blender blades Some neutron stars, called pulsars, emit streams of light that we see as flashes because the beams of light sweep in and out of our vision as the star rotates. The fastest known pulsar, named PSR J1748-2446ad, spins 43,000 times every minute. That’s twice as fast as the typical household blender! Over weeks, months or longer, pulsars pulse with more accuracy than an atomic clock, which excites astronomers about the possible applications of measuring the timing of these pulses. 4. Neutron stars are the strongest known magnets Like many objects in space, including Earth, neutron stars have a magnetic field. While all known neutron stars have magnetic fields billions and trillions of times stronger than Earth’s, a type of neutron star known as a magnetar can have a magnetic field another thousand times stronger. These intense magnetic forces can cause starquakes on the surface of a magnetar, rupturing the star’s crust and producing brilliant flashes of gamma rays so powerful that they have been known to travel thousands of light-years across our Milky Way galaxy, causing measurable changes to Earth’s upper atmosphere. 5. Neutron stars’ pulses were originally thought to be possible alien signals Beep. Beep. Beep. The discovery of pulsars began with a mystery in 1967 when astronomers picked up very regular radio flashes but couldn’t figure out what was causing them. The early researchers toyed briefly with the idea that it could be a signal from an alien civilization, an explanation that was discarded but lingered in their nickname for the original object—LGM-1, a nod to the “little green men” (it was later renamed PSR B1919+21). Of course, now scientists understand that pulsars are spinning neutron stars sending out light across a broad range of wavelengths that we detect as very regular pulses – but the first detections threw observers for a loop. The Neutron star Interior Composition Explorer (NICER) payload that is soon heading to the International Space Station will give astronomers more insight into neutron stars—helping us determine what is under the surface. Also, onboard NICER, the Station Explorer for X-ray Timing and Navigation Technology (SEXTANT) experiment will test the use of pulsars as navigation beacons in space. Make sure to follow us on Tumblr for your regular dose of space: http://nasa.tumblr.com " False text
sagansense 160808699610 "2017-05-18 17:31:11 GMT" https://sagansense.tumblr.com/post/160808699610/when-youre-watching-a-program-on-the-national  True text
