medievalistsnet 144165808856 "2016-05-10 21:36:04 GMT" http://medievalistsnet.tumblr.com/post/144165808856/reblog-if-youre-still-not-over-the-library-of  True text
medievalistsnet 61518314492 "2013-09-17 19:25:33 GMT" http://medievalistsnet.tumblr.com/post/61518314492/thought-via-path "Moving with your dog to the UK? read this first… http://www.mediaevalgirl.com/moving-your-dog-to-the-uk/ #England #Moving #Pets – Read on Path." True text
medievalistsnet 61028369404 "2013-09-12 15:52:55 GMT" http://medievalistsnet.tumblr.com/post/61028369404/thought-via-path "Thinking of taking your dog or cat abroad? THINK HARD. It is VERY difficult and complicated to transport a pet to the UK. My experience will be detailed in a blog post shortly…. at The Nut House – Read on Path." True text
medievalistsnet 51924982894 "2013-06-02 00:30:02 GMT" http://medievalistsnet.tumblr.com/post/51924982894/personally " I don’t care if you drink, smoke, claim straight edge, have lots of sex, have no sex, believe in god, believe in aliens, believe in nothing, eat meat, eat no meat, are vegan, or even like anything I like. Just be cool with me, and I’ll be cool with you.  AMEN :)" True text
medievalistsnet 51691686444 "2013-05-30 02:16:05 GMT" http://medievalistsnet.tumblr.com/post/51691686444/watching-centurion "This movie is fucking awful. What a waste for Michael Fassbender. Paycheque, anyone? #NEINmichaelNEIN with Peter at PK’s House – View on Path." True text
medievalistsnet 39100773989 "2012-12-29 04:43:29 GMT" http://medievalistsnet.tumblr.com/post/39100773989/troublesome-children-in-the-sagas-of-icelanders " Ármann Jakobsson Saga Book, Vol. XXVII, VIKING SOCIETY FOR NORTHERN RESEARCH UNIVERSITY COLLEGE LONDON (2003) Abstract 1. Medieval Children? Did children exist in the Middle Ages? It seems a silly question, but for some time it was a commonplace in historical scholarship that childhood as a notion was alien to the medieval mentality. Philippe Ariès expressed this view thus (Ariès 1962, 128): In medieval society the idea of childhood did not exist; this is not to suggest that children were neglected, forsaken or despised. The idea of childhood is not to be confused with affection for children: it corresponds to an awareness of the particular nature of childhood, that particular nature which distinguishes the child from the adult, even the young adult. In medieval society this awareness was lacking." True text
medievalistsnet 36516534908 "2012-11-25 16:38:00 GMT" http://medievalistsnet.tumblr.com/post/36516534908/transylvanian-identities-in-the-middle-ages " POPA-GORJANUI, COSMIN IDENTITATS, Flocel Sabaté, ed., Reunió Cientifica XIV Curs d’Estiu Comtat d’Urgell Celebrat a Balaguerels Dies 1,2 i 3 de Juliol de (2009)  Abstract This international conference approaches the complex topic of identities in the Middle Ages and as the participants could notice from the papers presented yesterday, various patterns of identity formation have developed in parts of western Europe. In my paper I am going to concentrate on the specific example of identity forma- tion during the Middle Ages in a multiethnic and multilingual region from East-Central Europe, that is in Transylvania. A multiethnic and multilingual region is a place where the experience of identity is expected to be stronger and the dynamic of the processes of identification, self-identification and building of otherness is more easily discernible. As a result of the consolidation of the Christian monarchy in Hungary, its easternmost region, conquered in the eleventh century by the Arpadian kings, suffered a continuous flow of various ethnic groups, thus becoming a place of meeting and cohabitation for Romanians, Slavs, Hungarians, Szeklers, Pechenegues, Germans, Valloons, Flemings, Italians, etc.. This ethnic diversity was achieved during the organization of Transylvania by the Hungarian kings through colonization, a process extended until the end of the thirteenth century. Such an ethnic and linguistic heterogeneity has necessarily triggered processes of consolidation of group identity as well as assimilation or the adoption by groups or individuals of another group’s identity. " True text
medievalistsnet 36436895070 "2012-11-24 17:05:49 GMT" http://medievalistsnet.tumblr.com/post/36436895070/border-state-divided-loyalties-the-politics-of "Southern women in the Civil War - this article is about divided loyalties. A woman living in the border state of Kentucky who switched loyalties from being a Unionist to Confederate over the course of the Civil War. Fascinating read!   Amber C. Nicholson (University of New Orleans) Master  of  Arts  In  History , University of New Orleans, Theses and Dissertations, Paper 1335, May (2011) Abstract This  thesis  examines  the  diary  of  Ellen  Wallace, a  woman  who lived  in  Hopkinsville,  Kentucky, during  the  American  Civil  War. A  diligent  diarist,  Ellen  recorded  not  only  the  workings  of  her  farm  and  household,  but  also  her  interactions  with  slaves,  her  worries  about  secession, and  her  shifting  views  on  President  Lincoln, emancipation  and  the  war  itself.  At  the  start  of  the  war,  Ellen  was  a  staunch  Unionist. By  war’s  end, she  was  a  Confederate.  This  thesis will  examine  the  factors  that  contributed  to  Ellen’s changing  political  ideals  and  how  she  sought  to  reconcile  her  opposing  beliefs.  Ellen  occupied  a  role  rarely  discussed  in  Civil  War  scholarship:  not  a  member  of  the  southern  paternalist  society,  or  a northern  abolitionist.  Ellen  was  a  slave‐owning  woman  who  supported  the  Union  cause." True text
medievalistsnet 36286907318 "2012-11-22 16:00:56 GMT" http://medievalistsnet.tumblr.com/post/36286907318/amber-in-the-ancient-near-east " Amber in the Ancient Near East Singer, Graciela Gestoso (Centro de Estudios de Historia del Antiguo Egipto (CEHAO) Universidad Católica Argentina) i-Medjat, No. 2, December (2008) Abstract Amber is a wholly-organic material derived from the resin of extinct species of trees. Amber can sometimes contain insects, twigs, bark, small vertebrates, and leaves. Although not mineralized, it is often classified as a gemstone of organic origin (Anderson 1995). Various cultures have referred to it by many names: “sea gold”, “electron”, “hardened honey”, “tiger’s soul”, “the gold of the North”, and “tears of the gods”. Amber is known to mineralogists as succinite (lat. Succinum) or “gum-stone”. The Greek name for amber was elektron, and was connected to the Sun god, one of whose titles was the “Elector” or the “Awakener”. It is also associated with the word “electricity”, because amber becomes electrically charged when rubbed with a cloth and can attract small particles. The word electrum is a Latinized form of the Greek name elektron, a metallic substance consisting of gold alloyed with silver. The electrum is pale yellow or yellowish-white, and it is called the “white gold” or the “pale gold”. The same word was also used for the substance amber, probably because of the pale yellow color of certain varieties, and it is from the electrostatic properties of amber that the modern English words “electron” and “electricity” derive. The modern name “amber” comes from Arabic, meaning “ambergris”, the waxy aromatic substance created in the intestines of sperm whales (Lucas-Harris 1934: 191-192; 392-394). There are many varieties of amber; some are a very rare occurrence in nature. Amber beads are mainly separated by their color, transparency, texture or grains, and locality. Amber occurs in a range of different colors: the usual yellow-orange (amber color), pale lemon yellow, brown, and black. Other uncommon colors include red (cherry amber), green, and blue. " True text
medievalistsnet 36278611072 "2012-11-22 12:00:42 GMT" http://medievalistsnet.tumblr.com/post/36278611072/poking-into-medicine-in-ancient-egypt "Poking into medicine in ancient Egypt Viega, Paul (Lisboa, Portugal) Pharmacy and Medicine in Ancient Egypt: Proceedings of the conferences held in Cairo (2007) and Manchester (2008) Abstract Without going through all the Classical authors who wrote about medical practices in ancient Egypt, or through the diaries of French and English people stationed in Egypt during the 1700’s and the 1800’s, who had to stand up and face the reality of diarrhoea and fever, together with poor eyesight and sometimes famine, when the Khamsin blew their eyes, I will elaborate succinctly on what consisted the medical practices in ancient Egypt. And I am also skipping the details about the medical profession, as Jonckheere1 researched so much about it. Nowadays computer technology is helping us to discover how ancient Egyptians produced their medicines, space shuttles show that lakes existed under the deserts we see today, whale bones are to be found in the most western desert; our own pharmacies sell pills made with chemical versions of plants’ extracts used for the same illnesses, and hair loss is still a problem for many people; just like in ancient Egypt." True text
medievalistsnet 36258780672 "2012-11-22 03:25:15 GMT" http://medievalistsnet.tumblr.com/post/36258780672/at-the-tip-of-a-sword-a-study-of-the " “At the Tip of a Sword”: A Study of the Introduction of the Knight into Anglo-Saxon England Rojas, Gabriela A. Faundez Marymount University, Marymount Honors Program (2010) Abstract This work will avoid the romanticized notions of the knight of the Middle Ages and will instead focus on the abilities these men were required to have as skilled warriors in comparison to those required from the thegns and the housecarls. It will begin with a study of the Late Anglo-Saxon military to be followed with the establishment of the housecarl by the Danish monarchs of the late tenth and early eleventh centuries in England. The thegn and the housecarl will be shown as somewhat “training figures” for what the Normans would eventually bring over to the island: individuals that made the transition not too radical. Lastly it will look at the already settled army organization of the Anglo-Norman period that began in the late eleventh century, to determine which elements from the Anglo-Saxon past remained in the figure of the knight. Therefore, while it will show that the knight was indeed introduced by the tip of his sword during the Norman invasion, it will also indicate how the original Saxon warrior paved his path with the tip of his own sword. “How did the nobles become noble in the first place?” William Thatcher asks in the movie A Knights Tale, angered by the fact that his friends have reminded him that to become a knight he has to be of noble birth. Yet despite the inaccuracies and unforgivable mistakes of the movie, the answer Thatcher gives illustrates a good point about the medieval history of England. “They took it! At the tip of a sword!” he responds. And yes it was at the tip of many swords that the Normans conquerors became the new nobles of England in 1066 A.D. At the tip of a sword they also introduced the knight that William Thatcher longed to be. Though the movie takes place in the late fourteenth century, when the image of knight had already been idealized to fit the models of courtly literature, William does remind us of the martial beginnings of these warriors by indicating that it was at the “tip of a sword” that they reached their place." True text
