littlethingsaboutgod 123774155220 "2015-07-11 02:40:30 GMT" http://littlethingsaboutgod.tumblr.com/post/123774155220  True text
littlethingsaboutgod 106150352867 "2014-12-25 16:45:55 GMT" http://littlethingsaboutgod.tumblr.com/post/106150352867 "Hi all, Merry Christmas from us. It’s been an amazing journey being a tiny part of God’s huge plan in spreading the gospel through this blog. We thank you for the prayer requests, the words of encouragement that you guys have been sending. We thank God that this blog has grown tremendously over the past few years, now having over 40k followers that together read and meditate on the word of God. It is our prayer that everyday we will find another reason to be thankful to God and that everyday we will grow closer to Him more than ever. May this Christmas we find more joy, hope and love in Christ Jesus. Merry Christmas everyone :) Putri, Beverly, Keshia  Little Things About God" True text
littlethingsaboutgod 81361105587 "2014-04-01 04:10:58 GMT" http://littlethingsaboutgod.tumblr.com/post/81361105587  True text
littlethingsaboutgod 79229818987 "2014-03-11 03:16:11 GMT" http://littlethingsaboutgod.tumblr.com/post/79229818987 "I don’t know if you know the Christian band Needtobreathe, but the bassist Seth Bolt just wrote a great book about following your dreams, and each download donates one malaria pill for Africa. It’s free today on Amazon, so I’m trying to encourage people to check it out and download! http://www.amazon.com/Breaking-Out-Of-Broken-System-ebook/dp/B00IR13CZO/ref=sr_1_1?ie=UTF8&qid=1394013414&sr=8-1&keywords=breaking+out+of+a+broken+system" True text
littlethingsaboutgod 74037612982 "2014-01-21 06:00:39 GMT" http://littlethingsaboutgod.tumblr.com/post/74037612982 "“You don’t want to fall in love with someone who doesn’t have Jesus beating in their heart, if Jesus is beating in your heart, because then you can’t have the same beating heart.” - Louie Giglio" True text
littlethingsaboutgod 71178381054 "2013-12-26 06:00:35 GMT" http://littlethingsaboutgod.tumblr.com/post/71178381054 "One of the surest signs you’re getting closer to Jesus, is a massively expanded heart and passion for people." True text
littlethingsaboutgod 67730947072 "2013-11-22 05:40:13 GMT" http://littlethingsaboutgod.tumblr.com/post/67730947072 "It’s so easy to live a life that revolves solely around a single agenda: our own. Everything in the surrounding culture encourages us to create the life that we want, to see the fulfillment of our own goals as the ultimate prize, to stand apart from the crowd by being truly selfish. Of course, Christianity suggests otherwise. It tells us that meeting our own desires is not the path to godly success. Jesus quotes from the ancients in Deuteronomy and Leviticus when He reminds His audience precisely what we ought to value most: to love God with all of our energy and passion, and to love others as much as ourselves. Selfless living does not mean placing others on an equal footing with ourselves, handing out the compassion in step with the self-indulgence. True Christianity—to be near the kingdom of God, to understand the very fibers that hold together the essence of Christianity, to put our faith into bold practice—means handing over our own agendas in place of serving God and others. It might not be sexy or culturally on-message, but it’s there, in plain and simple truth." True text
littlethingsaboutgod 67638002595 "2013-11-21 06:00:22 GMT" http://littlethingsaboutgod.tumblr.com/post/67638002595 "Sometimes the days become war. They blindside us with unrelenting blows from the mundane corners of everyday life. There is too much to do, too many fronts to defend, too many fires to put out. So what deceives us into traveling the days as though we have strength enough to be the savior of our own lives? Do we conclude (quietly, secretly, where even our own thoughts can barely hear) that since God is doing nothing, then we must somehow make a way for ourselves? Too often, we miss Jesus. Striving the way we do always makes the distance between us and Him ache with inconsolable longing. But the damnable part of that is that it doesn’t have to be so! He is there with us; He remains still. Patient. Waiting. Being God. Of the pressures and distractions and decisions we must face each day, there is (it seems) no end. But there is only one decision that truly matters. And that is the decision to cling close to Jesus, to hang trembling to his garments, whatever battle-lines form against us at our backs. Choosing not to fight in our own strength. But to believe, and to rest." True text
littlethingsaboutgod 60896426720 "2013-09-11 01:58:36 GMT" http://littlethingsaboutgod.tumblr.com/post/60896426720 "A really beautiful poem by reillistic.tumblr.com   ….. I would pull my hair out and beat my chestBecause I believed that God would lessen his wrathIf I only would punish myselfEven taking my own life, seemed like a good idea, I didn’t deserve God’s wealth I don’t talk about wealth as riches and fameBut more of His love and the sacrifices he madeI was once lost, but now I am savedGiven many chances to regain and entrust my life in Jesus’ nameI received mercy, thankful for what he has doneEven giving up His one and only sonFor my sinful desires he took and bared the crossSo that he could save those who were broken and lost To know a God that would do that is such a giftYet I continue to nail His son on that cross and liftI am reminded that Jesus makes all things newEven when you feel that God wouldn’t forgive youI wish I could say that the life of a Christian isn’t that hardI would be lying; it gets harder if you learn about “who you are”Knowing how far you can be stretched and challengedGod continues to show me all of these life lessonsTo become a testimony of a man that was so brokenTurned around to show you my hardships and confessions… Read more to get the full version     My path has crossed many intersectionsDon’t remember the last one that didn’t have so many complicationsIt’s a misconception, a skewed view of perceptionMy mind that’s racing, as I look for a new place to growI need to find a new locationWhat are all these things that I am facing?I keep pacing, my heart full of malice from all these things I am taking inI’m always over thinking, which gives an opportunity of overtakingI’m constantly viewing myself in such a negative lightBecoming vulnerable to the devils liesProvoking my demise, many times have I contemplated suicideInside he deteriorates, exposing my flaws Which infuriates, as I grit my jawsHe dedicates his life to make my life a living hellLast week my repressed memories broke my outer shellInvoking these thoughts I thought were away in hellHe saw and came, to slowly provoke, as I fellFrom his perspective “I might as well, take and break his so called life,it’s not like he will ever find a future wife,no one likes you, go and kill yourself, stop kidding yourself, God doesn’t hear you,why else would he mess with you, that’s why I am here to receive you, take your life and I will fulfill all your pleasures,the life that doesn’t require others to hurt you”As I tremble, with fists clenched, I hated myselfEvery time I continued to believe it all so wellAs God from a far distance would whisper “He is lying, how can you not tell?I love you…”I could barely figure it out, as I fell into a downward spiralI got lost in sexual sins, slowly becoming more pervertedAs I would become more averted to my fellow ChristiansI would come to church with so many evil intentionsRather than restoring my life, I came to find attentionHoping that I can find some meaning in lifeAs I saw memories flash before my eyesMany times I stumbled and fell I try to hold back the tears from my eyesThe mission has been compromisedSo many times I despise who I amCause, I believe I am unworthyA big failure in societyJust a mistake, how can I be Something better than people say I can beConstant battles between my mind and realitySo intense it feels like insanityDoing the same things over and overEmotions exploding, escalading like a rollercoasterAt times I get my highs and sometimes I get lowsWhen I am feeling down, I know it will be way down lowI can feel the devil so closeTempting me and mocking me for all my past mistakesTelling me that I should stop being a fakeQuestioning what will happen to my fateAs I wake up from a dream, still in a foggy stateGod I know I come to you only once in a whileEven when you have been by my side through all these milesTraveling across plains from narrow to wideOnly you know truly where my heart liesOnly you understand the pain insideYet while I have to put on a smile on the outsideI’ve just been feeling so weak and sadThat I even think about at times if I would be a good dadThat depression I once had, that almost led me to my fateMany times the devil would visualize my fateThe devil telling me how to cut my own faceTelling me that I was such a disgraceNo one would love you if they knew who you truly areAs I look into the mirror I saw someone who was overweightSomeone who had never gone on a dateI had so much hurt stored, which led me to hate what I looked likeMy mind was in an unstable stateReminded over and over again, all these things called traitsAt this rate he knew that I would eventually breakTo fall back where I wouldn’t growThe place no one would knowWhere I continued to pursue these false views of loveOnly to bring pleasure once moreSomething kept away from the publicIt becomes acidic, sometimes chaoticI only wish to be holisticInstead of sadistic, make life more simplisticYet it gets complex when my natural reflexBecomes a habitA fire that was once lit, has faded awayTurning my days grayWill I ever find redemptionFor all the mistakes I’ve made, I say, I’ve learned my lessonYet I continue to pursue a life of sinful passionsHow many times have I shed tears, only to be followed closely by my fearsI feel him hovering over me with his haunting wordsTelling me things that are so absurdI find myself so imprisoned like a caged birdSo many times I would cry, hoping someone would come into my lifeRestore and show me a new vision of life through my eyesBut that hope began to fade awayThat continued to lead me down a destructive pathwayContinuing to be engulfed by the manipulation of his deceit I felt hopeless, I believed I came to defeatI would pull my hair out and beat my chestBecause I believed that God would lessen his wrathIf I only would punish myselfEven taking my own life, seemed like a good idea, I didn’t deserve God’s wealthI don’t talk about wealth as riches and fameBut more of His love and the sacrifices he madeI was once lost, but now I am savedGiven many chances to regain and entrust my life in Jesus’ nameI received mercy, thankful for what he has doneEven giving up His one and only sonFor my sinful desires he took and bared the crossSo that he could save those who were broken and lostTo know a God that would do that is such a giftYet I continue to nail His son on that cross and liftI am reminded that Jesus makes all things newEven when you feel that God wouldn’t forgive youI wish I could say that the life of a Christian isn’t that hardI would be lying; it gets harder if you learn about “who you are”Knowing how far you can be stretched and challengedGod continues to show me all of these life lessonsTo become a testimony of a man that was so brokenTurned around to show you my hardships and confessions…" True text
littlethingsaboutgod 54327695088 "2013-07-01 07:13:11 GMT" http://littlethingsaboutgod.tumblr.com/post/54327695088 " In a society where there’s a certain pressure to uphold a perfect image, God calls us to come to him just as we are: broken, sinful, and helplessly messy…  Contrary to what a lot of people think, following Christ is NOT about following a set of rules and rituals so that God can love you better. It’s about acknowledging our desperate need of a Savior to pull us out of the darkness. In Jesus, brokenness can be beautiful because when we surrender it to Him, He not only accepts it in full, but also lovingly took upon the wrath that our sins deserve. So stop trying to appear whole, we’re all broken. Everyone is. But if you surrender wholly and invite Him into your life, He’ll give you a new heart, with peace and joy in Him everlasting." True text
littlethingsaboutgod 50061803129 "2013-05-10 02:40:55 GMT" http://littlethingsaboutgod.tumblr.com/post/50061803129 "             Jesus was never created. Micah 5:2 Jesus essence has never changed. Hebrews 13:8 Je Jesus is all-powerful. Matthew 28:18 Jesus is all-knowing. Colossians 2:3 Jesus is ever-present. Matthew 18:20 Jesus is holy. Luke 1:35 Jesus is righteous. Isaiah 53:11 Jesus is just. Zechariah 9:9 Jesus had no deceit. 1 Peter 2:22 Jesus is sinless. 2 Corinthians 5:21 Jesus is spotless. 1 Peter 1:19 Jesus is innocent. Matthew 27:4 Jesus is gentle. Matthew 11:29 Jesus is merciful. Hebrews 2:17 Jesus is forgiving. Luke 23:34 Jesus receives worship by demons. Mark 5:2,6 Jesus receives worship by men. John 9:38 Jesus receives worship by angels. Hebrews 1:6 Jesus receives worship by disciples. Luke 24:52 Jesus receives worship in heaven. Revelation 7:9-10 Jesus will receive worship from everyone. Philippians 2:10-11 Jesus was human. 1 Timothy 2:5 Jesus was conceived by the Holy Spirit. Luke 1:34-35 Jesus took on man’s nature. Hebrews 2:9-18 Jesus humbled Himself. Philippians 2:8 Jesus was subject to human emotions. Hebrews 5:7 Jesus raised His body from the dead. John 10:18 Jesus’ blood brings reconciliation with God. Ephesians 2:13-16 Jesus’ blood brings redemption for man. Romans 3:24-25 Jesus’ blood allows man to be justified before God. Romans 5:9 Jesus’ blood sanctifies man. Hebrews 10:29 Jesus’ blood brings spiritual victory. Revelation 12:11 Jesus’ blood brings eternal life. John 6:53-56 Jesus came to save sinners. Luke 19:10 Jesus will bring in everlasting righteousness. Daniel 9:24 Jesus destroyed the works of satan. 1 John 3:8 Jesus fulfilled the Old Testament. Matthew 5:17 Jesus gives life now. John 10:10 Jesus is our advocate. 1 John 2:1 Jesus gives eternal life. John 10:28 Jesus is eternal life. 1 John 5:20 Jesus sends the Holy Spirit to us. John 15:26 Jesus will take His people to heaven. John 14:3 Jesus will return to the earth after the tribulation. Matthew 24:29 Jesus will return to the earth in power and glory. Matthew 24:30 Jesus completes revelation. Hebrews 1:1 Jesus will never send you away if you come to Him. John 6:37 Jesus is the way, the truth, and the life. John 14:6              " True text
