fyjjong 161044232543 "2017-05-25 03:18:07 GMT" http://fyjjong.tumblr.com/post/161044232543  True text
fyjjong 160932848883 "2017-05-22 02:52:11 GMT" http://fyjjong.tumblr.com/post/160932848883/cnn "article by: marian lu. main article / twitter link  (cnn) the tour was shinee’s first in north america, taking in dallas, los angeles and canada. at the weekend, the k-pop powerhouse performed in hong kong, and on june 11 in taipei.  “‘the thought of going to see our fans that have been supporting us from so far away made my heart flutter a bit,” said band member lee tae-min, 23, known as “taemin.”–finding and appreciating k-pop fans  in dallas and los angeles, lee and the rest of shinee band members spoke english between the songs, sharing how much they appreciated fans learning korean and their own love for american food, like in-n-out burgers.  unlike the now typical mercurial k-pop bands, shinee has been around for almost a decade, constantly evolving their look and sound. fans, known as “shawols,” are drawn to shinee for their dance choreography, along with their unique mix of r&b, electronica, rap and rock.in the last year, several k-pop bands disbanded for various reasons, including scandal. but, one of the reasons for shinee’s longevity, said shekar, is the group’s “zero controversy … every member has held a pristine reputation and have earned themselves an incredible reputation with korean and international fans.”  los angeles-based production company subkulture entertainment was able to almost sell out shinee’s us concerts by targeting fans online, like grant who discovered shinee through youtube.  “our customer base, like most millennials are very internet savvy and acquire most of their information about k-pop via social media (twitter, facebook, instagram, snapchat, etc.), which is where we like to focus the majority of our marketing efforts,” said subkulture entertainment ceo derek lee.  but now in their 20s, shinee members are growing out of their “boy band” and “princes of k-pop” monikers. they are also near the age of military enlistment for south korean males, a destiny that threatens to tear other bands like big bang apart.  and while shinee declined to talk about the military, they do plan to perform in the us again sometime soon.  “we hope that through our tour, k-pop and k-pop concerts will continue to leave a mark on a market as big as the us,” said taemin." True text
fyjjong 160914791508 "2017-05-21 17:24:08 GMT" http://fyjjong.tumblr.com/post/160914791508/fyeahjinki-170521-9th-debut-anniversary "fyeahjinki: (170521) 9th debut anniversary special party trans cr. fantaemsie they playing a game where the member who puts the most balls in (something) within forty seconds wins. minho scored 43, key 36, and taemin 39. to which minho exclaimed, “sorry everyone, but i’m winning today!” then onew scored 62. jonghyun scored 43 and said, “i worked hard.” while jonghyun was scoring key, key said, “stop it hyung my score is getting lower.” " False text
fyjjong 160914750973 "2017-05-21 17:22:44 GMT" http://fyjjong.tumblr.com/post/160914750973/fyeahjinki-170521-9th-debut-anniversary "fyeahjinki:  (170521) 9th debut anniversary special party cr. _missnaa  on the anniversary cake: it was so big that the boys couldn’t stop looking at it or stop talking about it. all of them were talking about it at the same time and trying to touch it. op: a real chaos. there was a banner fanevent at the time and the fans had to tell the boys to look at them because they only cared about the cake.   " False text
fyjjong 160911838213 "2017-05-21 15:47:48 GMT" http://fyjjong.tumblr.com/post/160911838213/shinee-day-ninth-anniversary-party-170521 "shinee day: ninth anniversary party ♡ 170521during the game segment they played two games: one where they had forty seconds to see who could get throw a ball into the basket the most, and one where they were playing whac-a-mole. below are the results:ball toss gameonew: 62jonghyun: 43minho: 43taemin: 39key: 36whac-a-moleonew: 716 pointskey: 690 pointsjonghyun: 682 pointsminho: 666 pointstaemin: 368 points" True text
fyjjong 160907020558 "2017-05-21 12:44:35 GMT" http://fyjjong.tumblr.com/post/160907020558/starting-today-ill-be-switching-off-from-the "starting today i’ll be switching off from the usual queue i have set up and setting it up to post shinee content only from their first year of debut. (so, basically, content that is dated from may 22nd, 2008 - may 25th, 2009.) it’ll also only be ot5 content, both pictures and videos (but mainly pictures). the queue will last until the day after shinee’s anniversary (kst) when i’ll begin posting the usual queued content along with material from jonghyun’s first concert for the letter series (which will be on that same day). so, enjoy!" True text
fyjjong 160904966888 "2017-05-21 10:55:24 GMT" http://fyjjong.tumblr.com/post/160904966888/shinee-day-ninth-anniversary-party-170521 "shinee day: ninth anniversary party ♡ 170521translation: fantaemsie  ■ (on most memorable day) onew: can it be in the future? for me, the day of taemin’s concert. as a maknae achieving his dream alone i’m looking forward to it. ■ jonghyun: i’m going to attend it! ■ taemin: originally jonghyun hyung had a concert that day but, one day, he told me: “yah, taemin-ah!” then asked: “aren’t you curious? ㅎㅅㅎ” (jokingly) no. i’m not? 6v6 then he said that his concert schedule changed and he’s coming~. ■ jonghyun: i changed it! ㅎㅅㅎ  ■  park ji sun: jonghyun is like a young ceo with such a composed attitude like that!  " True text
fyjjong 160904695753 "2017-05-21 10:38:49 GMT" http://fyjjong.tumblr.com/post/160904695753/shinee-day-ninth-anniversary-party-170521 "shinee day: ninth anniversary party ♡ 170521initial game: s: shinee h: here i: impression n: new e: experience e: effect  d: day a: always y: you / onyou" True text
fyjjong 160904674693 "2017-05-21 10:37:45 GMT" http://fyjjong.tumblr.com/post/160904674693/shinee-day-ninth-anniversary-party-170521-and "shinee day: ninth anniversary party ♡ 170521and … second performance at the party is of: “투명우산 (don’t let me go)”!" True text
fyjjong 160904648748 "2017-05-21 10:36:03 GMT" http://fyjjong.tumblr.com/post/160904648748/shinee-day-ninth-anniversary-party-170521 "shinee day: ninth anniversary party ♡ 170521translation: rawfudge / sakura_tuanct  for the initial game (“shinee day”) and the letter “a” the word chosen was “always“. they talked about habits that they have before every concert. minho said that, during every concert, jonghyun has a habit of saying: ”do your best“.  taemin said that him, key and possibly onew hold hands and pray to do well before each concert. jonghyun possibly said after that that rather than praying per say it’s like another way of saying ”fighting“." True text
fyjjong 160904560813 "2017-05-21 10:30:53 GMT" http://fyjjong.tumblr.com/post/160904560813/shinee-day-ninth-anniversary-party-170521 "shinee day: ninth anniversary party ♡ 170521translation: jjongstagrams  onew and jonghyun both confirmed that they’re going to taemin’s solo concert.  " True text
fyjjong 160904496453 "2017-05-21 10:27:11 GMT" http://fyjjong.tumblr.com/post/160904496453/shinee-day-ninth-anniversary-party-170521-for "shinee day: ninth anniversary party ♡ 170521for the initial game (“shinee day”) and the letter “e” the word chosen was “effect”. park ji sun asked them about an effect they’ve felt so far, regarding anything. minho said that jonghyun’s singing is “so good”." True text
fyjjong 160904314608 "2017-05-21 10:15:48 GMT" http://fyjjong.tumblr.com/post/160904314608/shinee-day-ninth-anniversary-party-170521 "shinee day: ninth anniversary party ♡ 170521translation: gentlejinki / jjarimongdang / rawfudge    when talking about first impressions jonghyun brought up his first impression of key. he mentioned his visual and satoori. he also praised him and their friendship and referred to how key is like the mom of the group. " True text
fyjjong 160904236458 "2017-05-21 10:11:03 GMT" http://fyjjong.tumblr.com/post/160904236458/shinee-day-ninth-anniversary-party-170521 "shinee day: ninth anniversary party ♡ 170521translation: z0eyyy the members played an initial game with the letters that spell out “shinee day”. for the letter “i”: “impression” was chosen. park ji sun (the mc) asked them about their first impressions of each other. onew said that his first impression of jonghyun was mistaking him for someone older as, when they met, jonghyun was telling him about everything around them during his first visit to the practice room. (“here’s this, here’s that.) so, onew thought that it must be nice to have a ”hyung like him“." True text
fyjjong 160904105953 "2017-05-21 10:03:07 GMT" http://fyjjong.tumblr.com/post/160904105953/shinee-day-ninth-anniversary-party-170521 "shinee day: ninth anniversary party ♡ 170521shinee discussed what they’ve currently been up to during the opening talk segment. they mentioned their japan tour and shinee world v. jonghyun mentioned his album (recently released) and upcoming solo concerts. onew mentioned (and confirmed for a second time) his role in age of youth 2. taemin mentioned his solo concerts and alluded to “good news” coming soon regarding it for korean shawols." True text
fyjjong 160903827248 "2017-05-21 09:46:31 GMT" http://fyjjong.tumblr.com/post/160903827248/shinee-day-ninth-anniversary-party-170521 "shinee day: ninth anniversary party ♡ 170521comedian park ji sun (who was on yunhanam) is mc for the party." True text
fyjjong 160903765423 "2017-05-21 09:43:00 GMT" http://fyjjong.tumblr.com/post/160903765423/fyjjong-for-those-interested-shinees-ninth "fyjjong:for those interested: shinee’s ninth anniversary party can be audio streamed here and here!" False text
fyjjong 160903676238 "2017-05-21 09:37:46 GMT" http://fyjjong.tumblr.com/post/160903676238/shinee-day-ninth-anniversary-party-170521-and "shinee day: ninth anniversary party ♡ 170521and … first performance at the party is of: “your name”!" True text
