1rapmon 161061928711 "2017-05-25 16:42:06 GMT" http://1rapmon.tumblr.com/post/161061928711/reblog-with-your-favourite-thing-about-namjoon-is  True text
1rapmon 161061365671 "2017-05-25 16:21:14 GMT" http://1rapmon.tumblr.com/post/161061365671/looking-back-i-used-to-ship-yoonmin "looking back, i used to ship yoonmin..," True text
1rapmon 161051591696 "2017-05-25 08:23:12 GMT" http://1rapmon.tumblr.com/post/161051591696/1rapmon-you-know-what-the-funniest-thing-is "1rapmon: you know what the funniest thing is? everyday i wake up with so much love for namjoon in my heart……………..even when im sad even when everything is wrong i fucking love him without any conditions or expectations…….i just love him and that’s how it is and everyday i wake up loving him and i think ‘this is it. i can’t possibly love him any more than i do now. my heart can’t hold anymore love, it’s not humanely possible.’ but then i wake up the next day and i love him even more and i didn’t know that was possible until he came along but he still manages to make me love him and every single day i am surprised that i love him more so that he slowly becomes my whole entire world and the only one i have ever loved like this…………and i think ‘why doesnt my heart run out of space from loving him so fully’? but god……………my life is nothing but room for him. it could never be filled with anything other than him. nothing more nothing less…he is literally it?? i fucking love him and that is everything to me and nothing to him and to me that’s okay because like i said i love him. no ifs or buts no conditional clauses." False text
1rapmon 161051581301 "2017-05-25 08:22:31 GMT" http://1rapmon.tumblr.com/post/161051581301/1rapmon-first-of-all-namjoon-said-his-favorite "1rapmon: first of all, namjoon said his favorite character from friends is chandler so jot that down" False text
1rapmon 161051140231 "2017-05-25 07:56:25 GMT" http://1rapmon.tumblr.com/post/161051140231/my-queue-is-finally-up "My queue is finally up!!" True text
1rapmon 161050632491 "2017-05-25 07:28:32 GMT" http://1rapmon.tumblr.com/post/161050632491/hey-have-you-ever-thought-about-bts-going-to-the "hey have you ever thought about bts going to the army" True text
1rapmon 161044100036 "2017-05-25 03:13:48 GMT" http://1rapmon.tumblr.com/post/161044100036 // True text
1rapmon 161043330186 "2017-05-25 02:48:57 GMT" http://1rapmon.tumblr.com/post/161043330186/namjoon-me-yeah-bitch-you-breathe-that-air "namjoon :  me : yeah bitch, you breathe that air in real nice, take in that rejuvenating oxygen you go buddy no one does it like you mmmmmmm stay hydrated and nice and warm, i love you pal -" True text
1rapmon 161040591251 "2017-05-25 01:18:26 GMT" http://1rapmon.tumblr.com/post/161040591251/namjoon-very-low-key-flirting-with-halsey-wow-i "namjoon very low-key flirting with Halsey wow i-" True text
1rapmon 161040377001 "2017-05-25 01:11:09 GMT" http://1rapmon.tumblr.com/post/161040377001/novice-heartbreaker-your-5-most-recent-emojis "novice-heartbreaker: your 5 most recent emojis describe your aesthetic" False text
1rapmon 161039985936 "2017-05-25 00:57:46 GMT" http://1rapmon.tumblr.com/post/161039985936/god-why-is-there-so-much-drama-with-bts-these-days "god why is there so much drama with bts these days" True text
1rapmon 161039638706 "2017-05-25 00:45:26 GMT" http://1rapmon.tumblr.com/post/161039638706/u-know-whats-great-im-not-in-highschool-anymore  True text
1rapmon 161038314226 "2017-05-24 23:59:05 GMT" http://1rapmon.tumblr.com/post/161038314226/brownsuggestion-your-dark-skin-carries-with-it "brownsuggestion: Your dark skin carries with it your ancestors’ dreams, hopes, and wishes. Love yourself as much as they love you." False text
1rapmon 161036870831 "2017-05-24 23:09:21 GMT" http://1rapmon.tumblr.com/post/161036870831/ugh-when-will-my-queue-of-non-namjoon-likes-run "ugh when will my queue of non namjoon likes run out so i can go back to loving him :/" True text
1rapmon 161036226521 "2017-05-24 22:47:35 GMT" http://1rapmon.tumblr.com/post/161036226521/life-is-worth-living "life is worth living" True text
1rapmon 161031882671 "2017-05-24 20:27:07 GMT" http://1rapmon.tumblr.com/post/161031882671/hey-i-just-wanna-say-i-really-love-mn-yngi-n-im "hey i just wanna say i really love @mn-yngi n im glad we met :)" True text
1rapmon 161030126062 "2017-05-24 19:29:20 GMT" http://1rapmon.tumblr.com/post/161030126062/1meko-jimin-fix-your-damn-face-and-unfollow "1meko: jimin: “ fix your damn face and unfollow him rn!!! and don’t make me have to tell you again!!! 😤”jk:" False text
1rapmon 161029931681 "2017-05-24 19:22:31 GMT" http://1rapmon.tumblr.com/post/161029931681/dont-you-wish-you-could-tell-bts-everything-you "don’t you wish you could tell bts everything you wanna say to them……..like yes namjoon, carrots do have skin (pats him affectionately)" True text
1rapmon 161027159921 "2017-05-24 17:43:32 GMT" http://1rapmon.tumblr.com/post/161027159921/how-do-you-say-i-dont-know-in-your-native  True text
1rapmon 161025305001 "2017-05-24 16:34:34 GMT" http://1rapmon.tumblr.com/post/161025305001/1rapmon-someone-force-me-to-go-make-a-namjoon "1rapmon:someone force me to go make a namjoon moodboard i made it!" False text
