phan-band-fandoms 161083215374 "2017-05-26 04:54:06 GMT" https://phan-band-fandoms.tumblr.com/post/161083215374/roses-are-red-im-going-to-bed  True text
phan-band-fandoms 161083203884 "2017-05-26 04:53:41 GMT" https://phan-band-fandoms.tumblr.com/post/161083203884/unrelatableuserboxes "unrelatableuserboxes: " False text
phan-band-fandoms 161083085234 "2017-05-26 04:49:26 GMT" https://phan-band-fandoms.tumblr.com/post/161083085234/moansmisha-angelswatchingover "moansmisha: angelswatchingover: bittercasgirl:  nestingcas:  sometimes cas is this soft peaceful wise creature who cures babies in his free time and tends bees but he also ate an entire tablet and carved a sigil into his chest with a boxcutter so there’s that.  #and that one time he dug a bullet out of his flayed stomach with his fingers and then shoved it into his brother’s eye#orrrr the time he was vomiting blood and cut a guy’s finger entirely off his hand#idk man cas is pretty metal i’m not gonna lie  I love that Cas goes from this sweet, soft man: To this badass mofo:  Get a man (angel) who can do both" False text
phan-band-fandoms 161082990194 "2017-05-26 04:46:02 GMT" https://phan-band-fandoms.tumblr.com/post/161082990194/heteroiero-we-went-in-the-darkroom-today-and "heteroiero:  we went in the darkroom today and  looked around and i was like “wow this is brighter than my future” and my photography teacher laughed so hard he almost cracked his head on the enlarger  " False text
phan-band-fandoms 161082836459 "2017-05-26 04:40:37 GMT" https://phan-band-fandoms.tumblr.com/post/161082836459/destielette-i-love-cas-and-misha-with-every "destielette: I love CAS and MISHA with every fiber of my being and I don’t want to have anything to do with “people” who hates them. I block systematically all the haters. Seeing their posts / reblogs on my dash is enough to ruin my day. So please don’t be upset if I unfollow you because you keep reblogging their content. i try to keep my dash as clean as possible from their nauseating hatred. Thank you for your understanding." False text
phan-band-fandoms 161082740739 "2017-05-26 04:37:16 GMT" https://phan-band-fandoms.tumblr.com/post/161082740739/they-chose-family-okay-but-punkcas-with-blue "they-chose-family:  okay but punk!cas with blue hair who acts all tough and sarcastic and rarely ever smiles, but blushes like an idiot whenever dean does something cute like kissing his nose or calling him a “punk nerd” who’s with me " False text
phan-band-fandoms 161082460829 "2017-05-26 04:27:44 GMT" https://phan-band-fandoms.tumblr.com/post/161082460829/casthegrumpy-hi-have-you-taken-a-moment-out-of "casthegrumpy: hi have you taken a moment out of your day to consider that dean called cas devastatingly handsome" False text
phan-band-fandoms 161075789694 "2017-05-26 00:37:20 GMT" https://phan-band-fandoms.tumblr.com/post/161075789694/try-to-seduce-me-in-7-words-or-less  True text
phan-band-fandoms 161075527924 "2017-05-26 00:27:49 GMT" https://phan-band-fandoms.tumblr.com/post/161075527924/eccentriccas-name-a-duo-more-iconic-than-me "eccentriccas: ………..name a duo more iconic than me and my alarming level of attachment to misha collins" False text
phan-band-fandoms 161075223629 "2017-05-26 00:16:49 GMT" https://phan-band-fandoms.tumblr.com/post/161075223629/what-if "What if Dean didn’t leave Cas’ body even when Sam tried to get him to;What if Dean broke down into full on tears when Sam tried to tell him that Cas isn’t coming back this time;What if Dean tries everything he can to get Cas back, even trying to sell his soul, but nobody can bring him back;What if Chuck comes back and Dean begs him to bring Cas back, but he can’t do it;What if Dean tries anything he can think of to switch places with Cas because a world without Cas isn’t a happy world;What if Dean still prays to Cas even though he knows deep down that Cas can’t hear him anymore;What if Dean lifts Cas up into his arms and hugs his body while crying;What if Dean opened Cas’ eyes because he wanted to see his blue eyes again, but he didn’t see the glow that he’d fallen in love with;What if Cas died, his eyes staying open, and Dean couldn’t bring himself to close them even though they gave him an uneasy feeling because he didn’t want to forget what they looked like;What if Sam came back out of the house and found Dean cradling Cas in his arms;What if Dean reached out and touched Cas’ lips because Cas would always kiss the callouses on his fingers, and he wanted to feel that one last time;What if Dean and Cas were in each other’s shoes, and Dean was dead instead of Cas;What if Cas hadn’t come back from the alternate universe at all;What if Dean cries until he can’t cry no more because Cas isn’t coming back to him;What if Dean dreams about Cas every night since seeing him die;What if Dean has nightmares about watching Cas die, and he only wakes up because Sam shakes him awake because he was shouting Cas’ name;What if Dean found the mixtape he made Cas in Cas’ pocket because that’s where Cas put it so he could listen to it wherever;What if Dean found a mixtape that Cas made him, and it had all the popular love songs;What if Dean found a letter in Cas’ pocket addressed to him because Cas knew he wasn’t going to survive and wanted to tell Dean he loved him one last time;What if Cas had opened his mouth to say something sarcastic like, “I’m surprised none of us died,” before he was killed;What if Dean had rushed to go give Cas a kiss because he was so happy that Cas was okay before Cas was killed;What if the writers hadn’t killed off Cas" True text
phan-band-fandoms 161074906539 "2017-05-26 00:05:07 GMT" https://phan-band-fandoms.tumblr.com/post/161074906539/in-case-you-havent-heard-this-today "eccentriccas: castiel is beautiful & has a good heart" False text
